facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
OR-F00509,Washington,5,Yes,AFH,Medicaid,3,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00083,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00768,Washington,4,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00240,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00767,Washington,5,Yes,AFH,Medicaid,4,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00228,Washington,5,Yes,AFH,Medicaid,5,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00453,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00289,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00173,Washington,3,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00561,Washington,5,No/Unknown,AFH,,3,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00553,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00762,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00141,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00108,Washington,3,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00710,Washington,5,No/Unknown,AFH,,3,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00532,Washington,5,Yes,AFH,Medicaid,5,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00079,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00626,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00429,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00234,Washington,5,No/Unknown,AFH,,3,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00615,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00736,Washington,5,Yes,AFH,Medicaid,5,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00698,Washington,5,Yes,AFH,Medicaid,5,1,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00027,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00442,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00516,Washington,3,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00759,Washington,5,No/Unknown,AFH,,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00400,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00416,Washington,5,Yes,AFH,Medicaid,6,4,0,0,0,0,1,False,False,True,False,False,False,False,
OR-F00621,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00430,Washington,5,No/Unknown,AFH,,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00444,Washington,5,No/Unknown,AFH,,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
