cluster_id,n_licenses,counties,total_enforcement,total_investigations,total_civil_fines
OR001,2,Clackamas,0,0,0
OR002,2,Washington,0,0,0
OR003,2,Washington,5,4,0
OR004,2,Washington,2,1,0
OR005,2,Clackamas,0,1,0
OR006,2,Clackamas,0,1,0
OR007,2,Washington,0,0,0
OR008,2,Washington,2,2,0
OR009,2,Washington,0,1,0
OR010,2,Washington,0,3,0
OR011,2,Clackamas,0,0,0
OR012,2,Washington,2,2,0
OR013,2,Washington,0,4,0
OR014,2,Washington,1,0,0
OR015,2,Washington,5,6,0
OR016,2,Washington,2,0,0
OR017,2,Clackamas,1,3,0
OR018,2,Washington,0,2,0
OR019,2,Clackamas,2,3,0
OR020,2,Washington,0,2,0
OR021,2,Washington,0,1,0
OR022,2,Washington,0,1,0
OR023,2,Washington,1,1,0
OR024,2,Clackamas,0,4,0
OR025,2,Clackamas,0,0,0
OR026,2,Clackamas,3,3,0
OR027,2,Washington,2,0,0
OR028,2,Clackamas,4,4,0
OR029,5,"Clackamas,Washington",9,6,0
OR030,2,Clackamas,0,0,0
OR031,2,Clackamas,0,0,0
OR032,2,Clackamas,8,5,0
OR033,2,Clackamas,10,5,0
OR034,2,Clackamas,0,0,0
OR035,2,Clackamas,0,1,0
OR036,2,Washington,4,1,0
OR037,2,Clackamas,0,2,0
OR038,2,Clackamas,1,9,0
OR039,2,Washington,1,4,0
OR040,2,Washington,5,6,0
OR041,2,Clackamas,0,0,0
OR042,2,Washington,0,0,0
OR043,2,Washington,0,8,0
OR044,2,Washington,0,3,0
OR045,2,Clackamas,3,6,0
OR046,2,Washington,0,1,0
OR047,2,Clackamas,0,2,0
OR048,2,Clackamas,0,0,0
OR049,2,Washington,0,0,0
