facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00509,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,1,0,3,0,0,0,6,,,1,1,
OR-F00083,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00768,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00240,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00767,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,1,4,0,0,1,9,,,1,1,
OR-F00228,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,1,0,3,0,0,0,8,,,1,1,
OR-F00453,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,7,0,0,0,10,,,1,1,
OR-F00289,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00173,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,0,0,0,0,4,,,1,1,
OR-F00561,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,1,1,0,0,1,5,,,1,1,
OR-F00553,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,9,0,0,0,13,,,1,1,
OR-F00762,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,3,0,0,0,5,,,1,1,
OR-F00141,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,1,
OR-F00108,Open,Washington,3,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00710,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,1,0,1,0,0,0,4,,,1,1,
OR-F00532,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,0,1,4,0,0,1,10,,,1,1,
OR-F00079,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00626,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00429,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00234,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,1,1,0,0,1,5,,,1,1,
OR-F00615,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,2,0,0,0,5,,,1,1,
OR-F00736,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,0,0,3,0,0,0,8,,,1,2,OR046
OR-F00698,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,1,0,3,0,0,0,8,,,1,2,OR046
OR-F00027,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00442,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,0,0,0,0,3,,,1,1,
OR-F00516,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,0,0,0,0,3,,,1,1,
OR-F00759,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,1,0,0,0,0,0,0,1,,,1,1,
OR-F00400,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,1,
OR-F00416,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,4,0,3,0,0,0,9,,,1,1,
OR-F00621,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00430,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,4,0,0,3,0,0,0,7,,,1,1,
