facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
OR-F00509,Washington,3,1,0,3,0,6,0,0,0,,,,ok
OR-F00083,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00768,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00240,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00767,Washington,4,0,1,4,0,9,0,0,1,,,,ok
OR-F00228,Washington,5,1,0,3,0,8,0,0,0,,,,ok
OR-F00453,Washington,3,0,0,7,0,10,0,0,0,,,,ok
OR-F00289,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00173,Washington,4,0,0,0,0,4,0,0,0,,,,ok
OR-F00561,Washington,3,0,1,1,0,5,0,0,1,,,,ok
OR-F00553,Washington,4,1,0,9,0,13,0,0,0,,,,ok
OR-F00762,Washington,2,0,0,3,0,5,0,0,0,,,,ok
OR-F00141,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00108,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00710,Washington,3,1,0,1,0,4,0,0,0,,,,ok
OR-F00532,Washington,5,0,1,4,0,10,0,0,1,,,,ok
OR-F00079,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00626,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00429,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00234,Washington,3,0,1,1,0,5,0,0,1,,,,ok
OR-F00615,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00736,Washington,5,0,0,3,0,8,0,0,0,,,,ok
OR-F00698,Washington,5,1,0,3,0,8,0,0,0,,,,ok
OR-F00027,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00442,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00516,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00759,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00400,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00416,Washington,6,4,0,3,0,9,0,0,0,,,,ok
OR-F00621,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00430,Washington,4,0,0,3,0,7,0,0,0,,,,ok
OR-F00444,Washington,4,1,0,4,0,8,0,0,0,,,,ok
OR-F00123,Washington,0,0,0,0,0,0,0,0,0,,,,ok
